 Run#  Vfa              Vfb              Vfc              Ifa              Ifb              Ifc              Time                                                               
     1  228.0329161      159.0436008      159.0798204      3.265268899      24.80267061      24.94903010     0.8154622162E-01
     2  204.6255726      159.0436008      159.0798204      3.265268899      18.87965600      21.68213651     0.8734681752E-01
     3  216.4569041      159.0436008      159.0798204      3.267937749      20.59769636      23.05177342     0.8796212365E-01
     4  230.7921767      159.0436008      159.0798204      3.265268899      24.01340280      24.81985445     0.8941223433E-01
     5  229.2164258      159.0436008      159.0798204      3.265268899      24.64152875      24.95503025     0.8142242026E-01
     6  203.6638797      159.0436008      159.0798204      3.269480764      17.98518879      19.96709503     0.8661725103E-01
     7  203.8312279      159.0436008      159.0798204      3.269878046      19.40311140      18.66257602     0.8613810019E-01
     8  204.9638877      159.0436008      159.0798204      3.265268899      25.96079000      23.32842876     0.8304995850E-01
     9  227.6057729      159.0436008      159.0798204      3.265268899      23.17076998      24.58249854     0.8065256602E-01
    10  212.4746111      159.0436008      159.0798204      3.269334085      19.80605609      22.45190253     0.8767704697E-01
    11  217.4159008      159.0436008      159.0798204      3.265268899      20.98789259      23.32844844     0.8812846137E-01
    12  204.0343116      159.0436008      159.0798204      3.265268899      22.91149332      16.77822608     0.8505026636E-01
    13  228.4698582      159.0436008      159.0798204      3.265268899      24.71788054      24.89384094     0.8982670396E-01
    14  207.0634902      159.0436008      159.0798204      3.266258331      19.14311430      21.90857649     0.8741339303E-01
    15  203.5619420      159.0436008      159.0798204      3.267609637      17.85638269      20.60139126     0.8689664966E-01
    16  218.6992441      159.0436008      159.0798204      3.267252893      25.42374647      24.76589085     0.8199088306E-01
    17  228.8717547      159.0436008      159.0798204      3.266215130      23.39198559      24.66998055     0.8077163294E-01
    18  224.5159684      159.0436008      159.0798204      3.265268899      22.71780070      24.33937550     0.8883482151E-01
    19  203.5369832      159.0436008      159.0798204      3.268246526      17.88281306      20.47600109     0.8684514292E-01
    20  203.6987205      159.0436008      159.0798204      3.269595156      18.63000129      19.18888214     0.8631704018E-01
    21  224.1194363      159.0436008      159.0798204      3.265268899      22.71015043      24.37739397     0.8049427402E-01
    22  203.2989871      159.0436008      159.0798204      3.265268899      18.74866218      21.56695898     0.8726341433E-01
    23  203.7355197      159.0436008      159.0798204      3.269671355      19.02008621      18.92624693     0.8620460470E-01
    24  228.8717547      159.0436008      159.0798204      3.266215130      23.39198559      24.66998055     0.8079127626E-01
    25  227.1854379      159.0436008      159.0798204      3.265268899      23.06390558      24.49385752     0.8898003444E-01
    26  207.0634902      159.0436008      159.0798204      3.266258331      19.14311430      21.90857649     0.8743883780E-01
    27  204.3295874      159.0436008      159.0798204      3.266483886      24.26185607      18.92492356     0.8454691880E-01
    28  217.3426013      159.0436008      159.0798204      3.265268899      21.73916101      23.85214180     0.8006429323E-01
    29  226.0220501      159.0436008      159.0798204      3.265268899      22.94323025      24.48486289     0.8057623805E-01
    30  204.7040343      159.0436008      159.0798204      3.266312598      23.57240568      17.77351397     0.8483291297E-01
    31  203.5741057      159.0436008      159.0798204      3.268745116      17.90891700      20.34981137     0.8676828327E-01
    32  204.3295874      159.0436008      159.0798204      3.266483886      24.26185607      18.92492356     0.8453699255E-01
    33  205.9314774      159.0436008      159.0798204      3.265268899      25.91318320      22.88458498     0.8323372770E-01
    34  230.3225864      159.0436008      159.0798204      3.265268899      23.71366114      24.73579613     0.8926141789E-01
    35  203.6380152      159.0436008      159.0798204      3.269343089      17.96011275      20.09527021     0.8665050221E-01
    36  204.5074488      159.0436008      159.0798204      3.265268899      23.18494116      17.18019231     0.8499064103E-01
    37  213.3292777      159.0436008      159.0798204      3.269639011      19.93866001      22.55602142     0.8770371316E-01
    38  203.6987205      159.0436008      159.0798204      3.269595156      18.63000129      19.18888214     0.8630714055E-01
    39  202.7786082      159.0436008      159.0798204      3.265268899      25.00553205      20.34092640     0.8411122028E-01
    40  203.2989871      159.0436008      159.0798204      3.265268899      18.74866218      21.56695898     0.8727932019E-01
    41  206.2177551      159.0436008      159.0798204      3.265268899      25.74095923      22.13890140     0.8353451706E-01
