x y
0.0000 4.9332
0.3344 2.6304
0.6689 0.2616
1.0033 9.6285
1.3378 9.8156
1.6722 3.4563
2.0067 4.2851
2.3411 2.9700
2.6756 2.6107
3.0100 6.9557
3.3445 0.4337
3.6789 3.1854
4.0134 9.9589
4.3478 5.7379
4.6823 1.1816
5.0167 9.2105
5.3512 7.4361
5.6856 5.3084
6.0201 3.9650
6.3545 5.4174
6.6890 2.5082
7.0234 9.0577
7.3579 7.6524
7.6923 4.4824
8.0268 8.7327
8.3612 3.7490
8.6957 6.5221
9.0301 0.9619
9.3645 0.2198
9.6990 2.8539
10.0334 7.0893
10.3679 9.4408
10.7023 2.6565
11.0368 9.7310
11.3712 9.8093
11.7057 5.8178
12.0401 6.7173
12.3746 8.7104
12.7090 4.7235
13.0435 6.7729
13.3779 3.3745
13.7124 9.7091
14.0468 7.8854
14.3813 8.1481
14.7157 3.7298
15.0502 4.6762
15.3846 4.9247
15.7191 9.3834
16.0535 7.6253
16.3880 8.6944
16.7224 1.1795
17.0569 4.5163
17.3913 2.9947
17.7258 4.7856
18.0602 9.8164
18.3946 1.4629
18.7291 2.1097
19.0635 4.1651
19.3980 4.3886
19.7324 8.1570
20.0669 4.6924
20.4013 6.0443
20.7358 8.1667
21.0702 1.1284
21.4047 0.8373
21.7391 7.2267
22.0736 1.5875
22.4080 6.8535
22.7425 1.5653
23.0769 0.2793
23.4114 6.2715
23.7458 9.0932
24.0803 0.6310
24.4147 0.0097
24.7492 6.0500
25.0836 9.6266
25.4181 1.9359
25.7525 2.8334
26.0870 9.2101
26.4214 3.9883
26.7559 3.7808
27.0903 7.1108
27.4247 7.2146
27.7592 1.3096
28.0936 3.3310
28.4281 2.6261
28.7625 3.7289
29.0970 3.7338
29.4314 7.3388
29.7659 2.7529
30.1003 6.1057
30.4348 1.3859
30.7692 3.6852
31.1037 0.4651
31.4381 8.5270
31.7726 2.9286
32.1070 9.0130
32.4415 9.2394
32.7759 7.1735
33.1104 2.9477
33.4448 4.5982
33.7793 6.8619
34.1137 5.0830
34.4482 6.4653
34.7826 1.6926
35.1171 8.9705
35.4515 2.2673
35.7860 6.8304
36.1204 0.2731
36.4548 5.0427
36.7893 8.5055
37.1237 8.6574
37.4582 9.3241
37.7926 4.8309
38.1271 4.0422
38.4615 6.7698
38.7960 0.9697
39.1304 8.5725
39.4649 5.5660
39.7993 3.2908
40.1338 4.2054
40.4682 2.1572
40.8027 9.3822
41.1371 9.3523
41.4716 1.9222
